x,y,pcount,actualcost
1,1,,
1,2,,
1,3,1,39.029
1,4,,
1,5,,
1,6,,
1,7,,
1,8,,
1,9,,
1,10,,
1,11,,
1,12,,
1,13,,
1,14,,
1,15,,
1,16,,
1,17,,
1,18,,
1,19,,
1,20,,
1,21,,
1,22,,
1,23,,
1,24,,
1,25,,
1,26,,
2,1,,
2,2,,
2,3,,
2,4,,
2,5,,
2,6,,
2,7,1,6.727
2,8,,
2,9,,
2,10,,
2,11,,
2,12,,
2,13,,
2,14,,
2,15,,
2,16,,
2,17,,
2,18,,
2,19,,
2,20,,
2,21,,
2,22,,
2,23,,
2,24,,
2,25,,
2,26,,
3,1,,
3,2,,
3,3,,
3,4,,
3,5,,
3,6,,
3,7,,
3,8,,
3,9,,
3,10,,
3,11,,
3,12,,
3,13,,
3,14,,
3,15,,
3,16,,
3,17,,
3,18,,
3,19,,
3,20,,
3,21,,
3,22,,
3,23,,
3,24,,
3,25,,
3,26,1,0.15
4,1,,
4,2,,
4,3,,
4,4,,
4,5,,
4,6,,
4,7,,
4,8,,
4,9,,
4,10,,
4,11,,
4,12,,
4,13,1,11.295
4,14,,
4,15,,
4,16,,
4,17,,
4,18,,
4,19,,
4,20,,
4,21,,
4,22,,
4,23,,
4,24,,
4,25,,
4,26,,
5,1,,
5,2,,
5,3,3,746.724
5,4,,
5,5,,
5,6,,
5,7,,
5,8,,
5,9,,
5,10,,
5,11,,
5,12,,
5,13,,
5,14,1,20.141
5,15,,
5,16,,
5,17,,
5,18,,
5,19,,
5,20,,
5,21,,
5,22,,
5,23,,
5,24,,
5,25,,
5,26,,
6,1,,
6,2,,
6,3,2,582.252
6,4,,
6,5,,
6,6,,
6,7,1,3.272
6,8,,
6,9,,
6,10,,
6,11,,
6,12,,
6,13,,
6,14,,
6,15,,
6,16,,
6,17,,
6,18,,
6,19,,
6,20,,
6,21,,
6,22,,
6,23,,
6,24,,
6,25,,
6,26,,
7,1,5,13.368
7,2,1,10.349
7,3,2,1553.86
7,4,,
7,5,,
7,6,1,13.814
7,7,1,9.36
7,8,,
7,9,1,41.958562
7,10,,
7,11,,
7,12,,
7,13,,
7,14,1,232.548
7,15,,
7,16,,
7,17,,
7,18,,
7,19,,
7,20,,
7,21,,
7,22,,
7,23,,
7,24,,
7,25,,
7,26,,
8,1,,
8,2,,
8,3,2,1066.8
8,4,,
8,5,,
8,6,,
8,7,,
8,8,,
8,9,,
8,10,,
8,11,1,35.602873
8,12,,
8,13,,
8,14,,
8,15,,
8,16,,
8,17,,
8,18,,
8,19,,
8,20,,
8,21,,
8,22,,
8,23,,
8,24,,
8,25,,
8,26,,
9,1,2,4.525
9,2,,
9,3,2,43.085
9,4,,
9,5,,
9,6,4,76.573
9,7,4,2.785
9,8,,
9,9,,
9,10,,
9,11,,
9,12,,
9,13,,
9,14,,
9,15,1,4.005
9,16,,
9,17,,
9,18,1,35.823
9,19,,
9,20,,
9,21,,
9,22,1,41.029145
9,23,,
9,24,,
9,25,,
9,26,,
10,1,1,0.735925
10,2,2,11.016272
10,3,2,401.67
10,4,,
10,5,,
10,6,2,22.489
10,7,3,248.326
10,8,,
10,9,,
10,10,1,3.779245
10,11,2,11.032428
10,12,,
10,13,,
10,14,1,0.8715
10,15,,
10,16,,
10,17,,
10,18,,
10,19,,
10,20,,
10,21,,
10,22,1,13.193201
10,23,,
10,24,,
10,25,,
10,26,,
11,1,6,62.862
11,2,3,36.38346
11,3,2,146.796
11,4,,
11,5,,
11,6,,
11,7,6,81.02
11,8,,
11,9,,
11,10,,
11,11,1,6.63
11,12,,
11,13,,
11,14,3,16.0552
11,15,1,2.894314
11,16,,
11,17,,
11,18,,
11,19,,
11,20,,
11,21,,
11,22,,
11,23,,
11,24,,
11,25,,
11,26,,
12,1,2,0.50225
12,2,6,282.150343
12,3,5,788.192
12,4,1,5837.8985
12,5,,
12,6,1,1.806
12,7,1,7.2
12,8,,
12,9,,
12,10,,
12,11,2,1.7725
12,12,,
12,13,,
12,14,5,11.559799
12,15,1,1.456034
12,16,,
12,17,1,1.020352
12,18,,
12,19,,
12,20,,
12,21,,
12,22,,
12,23,,
12,24,,
12,25,,
12,26,,
13,1,,
13,2,3,3.78108
13,3,12,1949.98
13,4,,
13,5,,
13,6,2,32.131
13,7,14,335.638
13,8,1,5.958696
13,9,1,399.549332
13,10,1,316.253171
13,11,4,15.616519
13,12,1,7.226724
13,13,2,1.489156
13,14,18,62.029338
13,15,10,45.14273
13,16,1,8.499
13,17,,
13,18,,
13,19,,
13,20,1,8.36
13,21,,
13,22,2,86.022
13,23,,
13,24,,
13,25,,
13,26,,
14,1,2,300.7
14,2,6,143.96581
14,3,13,731.922
14,4,2,5.020717
14,5,1,178.739984
14,6,9,144.4
14,7,15,202.516
14,8,,
14,9,1,1.51025
14,10,3,9.616484
14,11,10,71.392901
14,12,1,18.638
14,13,5,200.513
14,14,8,51.232702
14,15,16,64.404737
14,16,,
14,17,1,5.26133
14,18,2,13.651
14,19,,
14,20,,
14,21,1,7.3
14,22,1,13.308513
14,23,,
14,24,,
14,25,,
14,26,1,0.124982
15,1,24,6270.006492
15,2,57,392.48628
15,3,26,1245.929
15,4,2,7.386835
15,5,2,17.04574
15,6,43,2493.311
15,7,58,1365.159
15,8,5,119.418482
15,9,6,112.215628
15,10,20,43.673219
15,11,8,23.710449
15,12,9,42.217714
15,13,4,130.3965
15,14,76,929.980956
15,15,63,315.094846
15,16,1,0.731
15,17,5,22.744822
15,18,13,453.686
15,19,1,1.267
15,20,3,14.117
15,21,8,89.2976
15,22,4,70.380186
15,23,12,36.9518
15,24,12,1038.051626
15,25,2,2.2505
15,26,8,16.071682
16,1,68,6794.752168
16,2,148,527.931842
16,3,77,1449.116
16,4,25,50.4003
16,5,34,1040.348602
16,6,110,784.739
16,7,141,822.501
16,8,6,45.551613
16,9,23,149.72611
16,10,74,93.726519
16,11,40,357.738271
16,12,25,324.327245
16,13,77,491.545953
16,14,94,588.607505
16,15,91,1533.217666
16,16,24,43.70978
16,17,53,85.408267
16,18,4,3.178
16,19,9,6.136811
16,20,10,43.18
16,21,39,61.833813
16,22,10,36.978436
16,23,10,10.8372
16,24,99,1142.414519
16,25,9,44.866627
16,26,11,17.92402
17,1,50,106.988907
17,2,51,450.712578
17,3,23,509.998
17,4,19,36.209047
17,5,8,4.1636
17,6,45,244.691
17,7,38,182.729
17,8,3,3.23771
17,9,7,18.755026
17,10,27,8.983964
17,11,3,1.00321
17,12,3,2.21
17,13,20,67.621036
17,14,23,113.85512
17,15,20,183.863494
17,16,,
17,17,9,5.369784
17,18,1,0.2
17,19,12,13.836774
17,20,1,0.283
17,21,6,1.91152
17,22,8,14.004034
17,23,3,12.9019
17,24,2,35.375
17,25,4,6.208957
17,26,,
18,1,2,7.203
18,2,,
18,3,,
18,4,,
18,5,,
18,6,1,4.237
18,7,1,2.75
18,8,,
18,9,2,8.342
18,10,,
18,11,,
18,12,,
18,13,,
18,14,1,10
18,15,,
18,16,,
18,17,,
18,18,,
18,19,,
18,20,,
18,21,,
18,22,,
18,23,,
18,24,,
18,25,,
18,26,,
19,1,162,13561.64374
19,2,277,1858.776665
19,3,172,11255.353
19,4,49,5936.915399
19,5,45,1240.297926
19,6,218,3818.191
19,7,284,3269.983
19,8,15,174.166501
19,9,41,732.056908
19,10,126,476.032602
19,11,71,524.499151
19,12,39,394.619683
19,13,109,902.860645
19,14,231,2036.88112
19,15,203,2150.078821
19,16,26,52.93978
19,17,69,119.804555
19,18,21,506.538
19,19,22,21.240585
19,20,15,65.94
19,21,54,160.342933
19,22,27,274.915515
19,23,25,60.6909
19,24,113,2215.841145
19,25,15,53.326084
19,26,21,34.270684
