Agency Name,Project Name,Start Date,Completion Date (B1),Lifecycle Cost,Planned Cost ($ M),Projected/Actual Cost ($ M)
Department of Agriculture,CIIS Hosting Maintenance and Operations,01/10/2010,30/09/2012,6119,6119,6118.99986
Department of Education,NAEP Web Operations and Maintenance,27/09/2007,30/09/2012,25654.96,5393.849,5837.8985
Department of Agriculture,FY12 Infrastructure Operations and Maintenance,01/10/2011,30/09/2012,3805,3649.24997,3804.99991
Department of Agriculture,"Hosting Apportionment, maintenance and software fixes",01/10/2011,30/09/2012,1947,1947,1947.5
Department of Defense,JTRS- Ground Mobile Radios,30/01/2002,15/08/2048,6872.256,1511.36,1511.36
Department of Defense,Joint Precision Approach and Landing System (JPALS) Increment 1A,15/09/2008,30/06/2014,1274.29,1274.29,1274.29
Department of Agriculture,EmpowHR Migration,01/06/2011,29/02/2012,1071.255,1071.255,382.801
Department of Defense,System Development and Demonstration - HMS post-Spiral 1 development to initial decision (Milestone C).,16/07/2004,31/12/2015,1211.853,1027.653,0
Department of Energy,"FY2012 SS Milestones, FY2012 SS Milestone Activities",01/10/2011,30/09/2012,912.329792,912.329792,912.329792
Department of Homeland Security,Core Account and Case Management,01/07/2010,31/07/2013,756.28,756.28,654.996
Department of Defense,AOC 10.1,15/12/2003,30/09/2012,754.895,754.895,797
Department of Defense,Increment 1,01/02/2010,30/06/2018,914.373,698.043,698.043
Department of Defense,System Development Demonstration (SDD),28/03/2008,30/11/2013,1595.233,682.685,453.17
Department of Defense,Network Enterprise Domain (NED) Engineering and Manufacturing Development,01/10/2001,01/01/2015,1873.244,563.12,563.12
Department of Defense,Low Rate Initial Production (LRIP) - LRIP will begin in FY11 and continue through FY14.,29/07/2011,30/09/2012,503.471,503.471,0
Department of Defense,AOC 10.2,12/09/2007,30/09/2017,485.476,485.476,485.476
Department of Defense,Installation Information Infrastructure Modernization Program,01/10/2000,30/09/2018,495.518,480.261,480.261
Social Security Administration,FY11 Data Center,01/10/2010,30/09/2011,475.44841,475.44841,488.92801
Department of Defense,Increment 1: Pilot C,30/09/2009,15/06/2012,428.268,428.268,428.268
Department of Justice,Next Generation Identification,07/05/2008,06/05/2018,1127.174,399.740293,399.549332
Department of Defense,Project Manager General Fund Enterprise Business System (PM GFEBS),24/06/2005,31/12/2021,1361.265,327.894,327.704
Department of Defense,Increment 1,01/08/2011,30/09/2017,367.2,321.47,321.47
Department of Health and Human Services,HHS ACA Consolidated IRS Projects,01/10/2011,30/09/2013,303,303,303
Department of Agriculture,SR 20092856 DOI - USDA FS Access Authentication,06/01/2009,14/12/2017,0.9,300.6,300.6
Department of Agriculture,SR 20115259 Linc Pass 2 Factor Identification,15/02/2011,15/01/2013,0.8,300.5,300.5
Department of Defense,Global Combat Support System - Marine Corps (GCSS-MC) Increment 1,01/10/2003,30/09/2023,1022,279,269.8
Social Security Administration,FY12 Data Center Operations and Maintenance,01/10/2011,30/09/2012,272.97931,272.97931,277.64796
Department of Defense,Global Combat Support System- Army,12/10/2000,30/09/2027,4153.75,257.98,254.922
